Clase,Largo,Ancho
C1,71,32
C1,50,22
C1,36,15
C1,54,30
C1,40,19
C1,25,14
C1,32,17
C1,55,25
C1,47,22
C1,42,20
C1,25,13
C1,50,22
C1,35,12
C1,35,15
C1,46,17
C1,60,28
C1,36,18
C1,78,39
C1,50,25
C1,60,30
C1,53,27
C1,32,15
C1,45,20
C1,60,30
C1,47,21
C1,52,25
C1,57,30
C1,55,25
C1,46,24
C1,32,15
C1,55,25
C1,63,31
C1,54,24
C1,44,22
C1,51,20
C1,56,24
C1,41,20
C1,53,22
C1,56,26
C1,52,22
C1,44,19
C1,50,23
C1,45,21
C1,37,17
C1,52,21
C1,55,23
C1,53,27
C1,56,25
C1,55,22
C1,50,22
C1,47,20
C1,58,27
C1,65,21
C1,65,26
C1,55,28
C1,45,18
C1,55,21
C1,55,23
C1,52,24
C1,43,22
C1,60,30
C1,61,29
C1,60,35
C1,55,20
C1,51,22
C1,65,21
C1,52,25
C1,58,21
C1,51,20
C1,50,21
C1,55,23
C1,46,22
C1,61,22
C1,62,26
C1,53,18
C1,40,20
C1,50,25
C1,44,15
C1,55,25
C1,60,35
C1,55,23
C1,62,30
C1,61,25
C1,55,30
C1,57,40
C1,60,31
C1,52,30
C1,40,17
C1,50,30
C1,54,35
C1,65,33
C1,65,35
C1,60,23
C1,59,25
C1,52,20
C1,43,19
C1,55,24
C1,54,19
C1,55,26
C1,50,18
C1,65,28
C1,45,20
C1,65,30
C1,43,18
C1,68,36
C1,60,30
C1,50,21
C1,69,34
C1,62,32
C1,57,26
C1,45,20
C1,40,19
C1,50,21
C1,55,23
C1,64,29
C1,50,22
C1,51,21
C1,34,16
C1,33,13
C1,50,23
C1,60,25
C1,65,30
C1,51,23
C1,60,24
C1,64,24
C1,54,23
C1,62,26
C1,48,21
C1,53,24
C1,73,29
C1,56,25
C1,73,26
C1,53,25
C1,54,21
C1,55,27
C1,44,21
C1,61,31
C1,65,32
C1,63,28
C1,65,30
C1,39,19
C1,63,30
C1,50,21
C1,62,30
C1,52,24
C1,55,22
C1,45,20
C1,50,21
C1,50,19
C1,47,23
C1,63,26
C1,54,24
C1,62,29
C1,54,23
C1,61,28
C1,62,31
C1,61,30
C1,43,19
C1,55,25
C1,54,24
C1,63,29
C1,55,26
C1,59,26
C1,57,27
C1,59,28
C1,62,26
C1,69,35
C1,61,27
C1,52,26
C1,51,24
C1,44,22
C1,68,35
C1,44,21
C1,66,33
C1,73,29
C1,59,25
C1,60,27
C1,64,25
C1,61,28
C1,52,25
C1,76,30
C1,62,29
C1,46,23
C1,38,20
C1,49,24
C1,57,25
C1,56,26
C1,48,21
C1,60,29
C1,57,25
C1,67,30
C1,40,19
C1,48,21
C1,44,21
C1,51,24
C1,40,20
C1,50,25
C1,55,27
C1,40,15
C1,40,17
C1,51,26
C1,35,17
C1,65,32
C1,62,30
C1,61,27
C1,68,29
C1,66,33
C1,53,24
C1,60,28
C1,55,27
C1,56,26
C1,80,42
C1,73,32
C1,73,36
C1,66,32
C1,50,23
C1,50,24
C1,67,33
C1,49,22
C1,72,31
C1,64,32
C1,50,32
C1,44,21
C1,91,43
C1,62,31
C1,50,30
C1,30,18
C1,33,16
C1,36,19
C1,30,17
C1,45,22
C1,45,22
C1,42,20
C1,20,10
C1,35,20
C1,50,26
C1,30,16
C1,40,20
C1,30,15
C1,40,19
C1,59,22
C1,65,30
C1,60,30
C1,70,32
C1,52,24
C1,63,29
C1,69,31
C1,66,35
C1,60,29
C1,55,29
C1,55,23
C1,48,25
C1,60,32
C1,52,23
C1,52,25
C1,55,21
C1,50,18
C1,49,21
C1,57,26
C1,57,28
C1,63,31
C1,44,19
C1,48,22
C1,51,23
C1,61,30
C1,50,29
C1,57,26
C1,49,24
C1,51,22
C1,21,13
C1,45,25
C1,46,29
C1,70,31
C1,56,27
C1,73,35
C1,71,35
C1,52,25
C1,65,30
C1,41,20
C1,49,22
C1,50,32
C1,47,24
C1,68,36
C1,51,23
C1,45,20
C1,60,30
C1,61,31
C1,65,33
C1,60,25
C1,50,24
C1,50,20
C1,44,20
C1,56,32
C1,55,28
C1,47,23
C1,60,25
C1,75,36
C1,46,21
C1,42,19
C1,44,30
C1,71,29
C1,63,28
C1,75,33
C1,70,30
C1,63,27
C1,68,29
C1,57,20
C1,59,26
C1,72,30
C1,65,27
C1,84,32
